>> disp('tbl_acc0'); disp(tbl_acc0); 
disp('tbl_prc0'); disp(tbl_prc0); 
disp('tbl_rcl0'); disp(tbl_rcl0);
tbl_acc0
    Var1                      study                      HerdingSpikes2    IronClust    JRClust    KiloSort    KiloSort2    Klusta    MountainSort4    SpykingCircus    Tridesclous    Waveclus    nUnits
     22     'synth_magland_noise20_K10_C8'                     NaN           0.997       0.997      0.776        0.994      0.852          0.95             0.99           0.793          NaN         12 
     23     'synth_magland_noise20_K20_C4'                     NaN           0.918       0.786      0.824         0.88      0.732         0.971            0.619           0.209          NaN         22 
     24     'synth_magland_noise20_K20_C8'                     NaN           0.954       0.862      0.767        0.896      0.671         0.966            0.783           0.845          NaN         27 
     25     'manual_tetrode_600s'                              NaN           0.373       0.312      0.336        0.495      0.554         0.628            0.449            0.03          NaN         89 
     26     'manual_tetrode_1200s'                             NaN            0.24       0.335      0.526        0.541      0.589         0.657            0.457           0.025          NaN         46 
     27     'manual_tetrode_2400s'                             NaN           0.275       0.233      0.527         0.55      0.598         0.711            0.315           0.015          NaN         23 
     28     'synth_mearec_neuronexus_noise10_K10_C32'          NaN           0.986       0.976      0.969        0.991      0.819         0.896            0.933            0.97          NaN         27 
     29     'synth_mearec_neuronexus_noise10_K20_C32'          NaN           0.988       0.927      0.854        0.997      0.889         0.908            0.958           0.823          NaN         40 
     30     'synth_mearec_neuronexus_noise10_K40_C32'          NaN           0.961       0.878      0.922        0.938      0.853          0.89            0.917           0.752          NaN         60 
     31     'synth_mearec_neuronexus_noise20_K10_C32'          NaN           0.997       0.893      0.999        0.679       0.89         0.761                1           0.999          NaN          4 
     32     'synth_mearec_neuronexus_noise20_K20_C32'          NaN           0.994       0.963      0.899        0.997       0.89         0.937            0.959           0.997          NaN         13 
     33     'synth_mearec_neuronexus_noise20_K40_C32'          NaN           0.989       0.965      0.925         0.97      0.889         0.864             0.97           0.885          NaN         28 
     34     'synth_mearec_tetrode_noise10_K10_C4'              NaN           0.948       0.587      0.921            0      0.812         0.961             0.89           0.966          NaN         15 
     35     'synth_mearec_tetrode_noise10_K20_C4'              NaN           0.927       0.566       0.89        0.693      0.818         0.888            0.815           0.791          NaN         25 
     36     'synth_mearec_tetrode_noise20_K10_C4'              NaN           0.985       0.908      0.905            0      0.921         0.999            0.955           0.982          NaN          4 
     37     'synth_mearec_tetrode_noise20_K20_C4'              NaN           0.972       0.964      0.985            0      0.905          0.99            0.912           0.992          NaN          7 
     38     'mea_c30'                                        0.857           0.946           0      0.814        0.974          0         0.847            0.962           0.643          NaN         56 
     39     'hybrid_drift_siprobe'                           0.505           0.899       0.505      0.774        0.883        NaN         0.509            0.692           0.434          NaN        532 
     40     'hybrid_static_siprobe'                          0.855           0.951       0.938      0.943        0.959        NaN         0.866            0.916           0.498          NaN        578 
     41     'hybrid_drift_tetrode'                           0.372           0.815       0.577      0.785        0.598        NaN         0.603            0.679           0.578          NaN         52 
     42     'hybrid_static_tetrode'                           0.46           0.929       0.762      0.922        0.737        NaN         0.838            0.788           0.566          NaN         54 

tbl_prc0
    Var1                      study                      HerdingSpikes2    IronClust    JRClust    KiloSort    KiloSort2    Klusta    MountainSort4    SpykingCircus    Tridesclous    Waveclus    nUnits
    ____    _________________________________________    ______________    _________    _______    ________    _________    ______    _____________    _____________    ___________    ________    ______

      0     'paired_boyden32c'                                 NaN           0.843       0.695      0.484        0.819      0.472         0.804            0.687           0.433          NaN         10 
      1     'paired_crcns'                                     NaN           0.874       0.757      0.581        0.815       0.84         0.871            0.824           0.404          NaN         15 
      2     'paired_mea64c'                                  0.882           0.893        0.88      0.825        0.832       0.84         0.891            0.894           0.831          NaN         13 
      3     'paired_kampff'                                  0.958           0.991        0.99      0.836         0.98      0.541         0.986            0.974           0.714          NaN          6 
      4     'paired_monotrode_boyden32c'                       NaN           0.181         NaN        NaN          NaN      0.447         0.412            0.426            0.27        0.433         10 
      5     'paired_monotrode_kampff'                          NaN           0.096         NaN        NaN          NaN       0.49         0.625            0.414           0.162        0.633          9 
