tbl_acc1
    Var1                      study                      HerdingSpikes2    IronClust    JRClust    KiloSort    KiloSort2    Klusta    MountainSort4    SpykingCircus    Tridesclous    Waveclus
     24     'synth_magland_noise20_K20_C8'                     NaN           0.954       0.862      0.767        0.896      0.671         0.966            0.783           0.845          NaN  
     25     'manual_tetrode_600s'                              NaN           0.373       0.312      0.336        0.495      0.554         0.628            0.449            0.03          NaN  
     26     'manual_tetrode_1200s'                             NaN            0.24       0.335      0.526        0.541      0.589         0.657            0.457           0.025          NaN  
     27     'manual_tetrode_2400s'                             NaN           0.275       0.233      0.527         0.55      0.598         0.711            0.315           0.015          NaN  
     28     'synth_mearec_neuronexus_noise10_K10_C32'          NaN           0.986       0.976      0.969        0.991      0.819         0.896            0.933            0.97          NaN  
     29     'synth_mearec_neuronexus_noise10_K20_C32'          NaN           0.988       0.927      0.854        0.997      0.889         0.908            0.958           0.823          NaN  
     30     'synth_mearec_neuronexus_noise10_K40_C32'          NaN           0.961       0.878      0.922        0.938      0.853          0.89            0.917           0.752          NaN  
     31     'synth_mearec_neuronexus_noise20_K10_C32'          NaN           0.997       0.893      0.999        0.679       0.89         0.761                1           0.999          NaN  
     32     'synth_mearec_neuronexus_noise20_K20_C32'          NaN           0.994       0.963      0.899        0.997       0.89         0.937            0.959           0.997          NaN  
     33     'synth_mearec_neuronexus_noise20_K40_C32'          NaN           0.989       0.965      0.925         0.97      0.889         0.864             0.97           0.885          NaN  
     34     'synth_mearec_tetrode_noise10_K10_C4'              NaN           0.948       0.587      0.921            0      0.812         0.961             0.89           0.966          NaN  
     35     'synth_mearec_tetrode_noise10_K20_C4'              NaN           0.927       0.566       0.89        0.693      0.818         0.888            0.815           0.791          NaN  
     36     'synth_mearec_tetrode_noise20_K10_C4'              NaN           0.985       0.908      0.905            0      0.921         0.999            0.955           0.982          NaN  
     37     'synth_mearec_tetrode_noise20_K20_C4'              NaN           0.972       0.964      0.985            0      0.905          0.99            0.912           0.992          NaN  
     38     'mea_c30'                                        0.857           0.946           0      0.814        0.974          0         0.847            0.962           0.643          NaN  
     39     'hybrid_drift_siprobe'                           0.505           0.899       0.505      0.774        0.883        NaN         0.509            0.692           0.434          NaN  
     40     'hybrid_static_siprobe'                          0.855           0.951       0.938      0.943        0.959        NaN         0.866            0.916           0.498          NaN  
     41     'hybrid_drift_tetrode'                           0.372           0.815       0.577      0.785        0.598        NaN         0.603            0.679           0.578          NaN  
     42     'hybrid_static_tetrode'                           0.46           0.929       0.762      0.922        0.737        NaN         0.838            0.788           0.566          NaN  

tbl_prc1
    Var1                      study                      HerdingSpikes2    IronClust    JRClust    KiloSort    KiloSort2    Klusta    MountainSort4    SpykingCircus    Tridesclous    Waveclus
    ____    _________________________________________    ______________    _________    _______    ________    _________    ______    _____________    _____________    ___________    ________

      0     'paired_boyden32c'                                 NaN           0.843       0.695      0.484        0.819      0.472         0.804            0.687           0.433          NaN  
      1     'paired_crcns'                                     NaN           0.874       0.757      0.581        0.815       0.84         0.871            0.824           0.404          NaN  
      2     'paired_mea64c'                                  0.882           0.893        0.88      0.825        0.832       0.84         0.891            0.894           0.831          NaN  
      3     'paired_kampff'                                  0.958           0.991        0.99      0.836         0.98      0.541         0.986            0.974           0.714          NaN  
      4     'paired_monotrode_boyden32c'                       NaN           0.181         NaN        NaN          NaN      0.447         0.412            0.426            0.27        0.433  
      5     'paired_monotrode_kampff'                          NaN           0.096         NaN        NaN          NaN       0.49         0.625            0.414           0.162        0.633  
      6     'paired_monotrode_crcns'                           NaN           0.148         NaN        NaN          NaN      0.283         0.436            0.747            0.18        0.542  
      7     'paired_monotrode_mea64c'                          NaN           0.401         NaN        NaN          NaN      0.849         0.951            0.724           0.709        0.954  
      8     'neurocube_sim2_2K10'                              NaN           0.098         NaN        NaN          NaN          0          0.77            0.259           0.248        0.664  
      9     'neurocube_sim2_11K20'                             NaN            0.17         NaN        NaN          NaN      0.018          0.86            0.136           0.111        0.765  
     10     'neurocube_quiroga_easy1'                          NaN           0.994         NaN        NaN          NaN          0         0.999                1           0.997            1  
     11     'neurocube_quiroga_easy2'                          NaN             0.8         NaN        NaN          NaN      0.321         0.994            0.989           0.492        0.995  
     12     'neurocube_quiroga_difficult1'                     NaN           0.712         NaN        NaN          NaN      0.209         0.822            0.929           0.457         0.99  
     13     'neurocube_quiroga_difficult2'                     NaN           0.664         NaN        NaN          NaN      0.126         0.983            0.665           0.496        0.993  
     14     'synth_bionet_static'                              NaN           0.928       0.935      0.909        0.905          0         0.979            0.863           0.436          NaN  
     15     'synth_bionet_drift'                               NaN           0.867       0.927      0.882        0.907          0         0.964             0.67           0.418          NaN  
     16     'synth_bionet_shuffle'                             NaN           0.866       0.902      0.874        0.909          0         0.962            0.762           0.362          NaN  
     17     'synth_magland_noise10_K10_C4'                     NaN           0.992       0.965      0.901        0.933       0.96         0.997            0.827           0.887          NaN  
     18     'synth_magland_noise10_K10_C8'                     NaN           0.997       0.996      0.968            1      0.999         0.954            0.908           0.934          NaN  
     19     'synth_magland_noise10_K20_C4'                     NaN           0.957       0.792      0.782        0.858      0.864          0.99            0.643           0.541          NaN  
     20     'synth_magland_noise10_K20_C8'                     NaN           0.987       0.977       0.91         0.94      0.986         0.963            0.815           0.964          NaN  
     21     'synth_magland_noise20_K10_C4'                     NaN           0.996       0.983      0.897        0.983      0.994         0.996            0.814            0.84          NaN  
     22     'synth_magland_noise20_K10_C8'                     NaN               1       0.999      0.865        0.997      0.998         0.951                1           0.833          NaN  
     23     'synth_magland_noise20_K20_C4'                     NaN            0.94       0.836      0.867        0.935      0.859         0.991            0.696           0.216          NaN  
     24     'synth_magland_noise20_K20_C8'                     NaN            0.97       0.904      0.822         0.91      0.829         0.975            0.828           0.933          NaN  
     25     'manual_tetrode_600s'                              NaN           0.405       0.368      0.348        0.531       0.64         0.705             0.51           0.031          NaN  
     26     'manual_tetrode_1200s'                             NaN           0.291       0.375      0.547        0.574       0.74         0.746            0.496           0.026          NaN  
     27     'manual_tetrode_2400s'                             NaN           0.303       0.259      0.542        0.591       0.77         0.794             0.37           0.015          NaN  
     28     'synth_mearec_neuronexus_noise10_K10_C32'          NaN           0.994        0.99      0.994        0.992      0.994         0.937            0.995           0.994          NaN  
     29     'synth_mearec_neuronexus_noise10_K20_C32'          NaN           0.999       0.957      0.887        0.999      0.975         0.951                1           0.834          NaN  
     30     'synth_mearec_neuronexus_noise10_K40_C32'          NaN            0.98       0.913      0.939         0.94      0.936         0.926            0.944           0.763          NaN  
     31     'synth_mearec_neuronexus_noise20_K10_C32'          NaN               1       0.998          1        0.999          1         0.958                1               1          NaN  
     32     'synth_mearec_neuronexus_noise20_K20_C32'          NaN               1       0.996        0.9            1       0.98         0.939                1               1          NaN  
     33     'synth_mearec_neuronexus_noise20_K40_C32'          NaN               1       0.992      0.959        0.972      0.977         0.936                1           0.893          NaN  
     34     'synth_mearec_tetrode_noise10_K10_C4'              NaN           0.972       0.614      0.937            0      0.986         0.991            0.911           0.985          NaN  
     35     'synth_mearec_tetrode_noise10_K20_C4'              NaN           0.948         0.6      0.919        0.768      0.933         0.987            0.861           0.802          NaN  
     36     'synth_mearec_tetrode_noise20_K10_C4'              NaN               1       0.909      0.908            0          1         0.999            0.957               1          NaN  
     37     'synth_mearec_tetrode_noise20_K20_C4'              NaN           0.999       0.971      0.998            0      0.996         0.992            0.968           0.997          NaN  
     38     'mea_c30'                                          0.9           0.989           0      0.902        0.998          0         0.953            0.995            0.69          NaN  
     39     'hybrid_drift_siprobe'                           0.864           0.945       0.948      0.936        0.943        NaN         0.968            0.897           0.492          NaN  
     40     'hybrid_static_siprobe'                          0.918           0.981       0.973      0.973        0.971        NaN         0.994            0.961           0.525          NaN  
     41     'hybrid_drift_tetrode'                           0.717           0.851       0.757      0.862        0.947        NaN         0.911            0.805           0.663          NaN  
     42     'hybrid_static_tetrode'                          0.827           0.951       0.878      0.955        0.914        NaN          0.98            0.837           0.572          NaN  

tbl_rcl1
    Var1                      study                      HerdingSpikes2    IronClust    JRClust    KiloSort    KiloSort2    Klusta    MountainSort4    SpykingCircus    Tridesclous    Waveclus
    ____    _________________________________________    ______________    _________    _______    ________    _________    ______    _____________    _____________    ___________    ________

      0     'paired_boyden32c'                                 NaN           0.817       0.742       0.81        0.897      0.698         0.501             0.69           0.383          NaN  
      1     'paired_crcns'                                     NaN           0.918       0.865      0.897        0.869      0.902         0.954             0.88           0.643          NaN  
      2     'paired_mea64c'                                  0.931           0.974       0.958      0.921        0.992      0.778         0.905             0.97           0.947          NaN  
      3     'paired_kampff'                                  0.875           0.818       0.947      0.963        0.983       0.45         0.827            0.802           0.723          NaN  
      4     'paired_monotrode_boyden32c'                       NaN           0.742         NaN        NaN          NaN        0.8         0.964            0.809           0.907        0.793  
      5     'paired_monotrode_kampff'                          NaN            0.69         NaN        NaN          NaN      0.785         0.865            0.878           0.994        0.607  
      6     'paired_monotrode_crcns'                           NaN           0.574         NaN        NaN          NaN      0.922         0.944            0.832           0.978        0.843  
      7     'paired_monotrode_mea64c'                          NaN           0.967         NaN        NaN          NaN       0.95         0.976            0.921            0.99        0.942  
      8     'neurocube_sim2_2K10'                              NaN           0.977         NaN        NaN          NaN          0         0.986            0.868           0.997        0.963  
      9     'neurocube_sim2_11K20'                             NaN           0.869         NaN        NaN          NaN      0.897         0.946            0.742           0.955        0.949  
     10     'neurocube_quiroga_easy1'                          NaN           0.904         NaN        NaN          NaN          0         0.976            0.974           0.994        0.758  
     11     'neurocube_quiroga_easy2'                          NaN           0.927         NaN        NaN          NaN      0.263         0.976            0.943           0.993        0.796  
     12     'neurocube_quiroga_difficult1'                     NaN           0.938         NaN        NaN          NaN       0.29         0.974            0.903           0.997        0.921  
     13     'neurocube_quiroga_difficult2'                     NaN           0.961         NaN        NaN          NaN      0.378         0.955            0.949           0.992        0.926  
     14     'synth_bionet_static'                              NaN           0.903         0.9      0.918        0.947          0         0.793            0.907           0.566          NaN  
     15     'synth_bionet_drift'                               NaN           0.911       0.731        0.9        0.936          0         0.749             0.84           0.524          NaN  
     16     'synth_bionet_shuffle'                             NaN           0.906       0.771      0.898        0.935          0         0.748            0.839           0.435          NaN  
     17     'synth_magland_noise10_K10_C4'                     NaN            0.98       0.968      0.953        0.951      0.933         0.953            0.935           0.961          NaN  
     18     'synth_magland_noise10_K10_C8'                     NaN           0.988       0.986      0.933        0.998      0.939         0.953            0.946           0.908          NaN  
     19     'synth_magland_noise10_K20_C4'                     NaN           0.958       0.894      0.948        0.926      0.889         0.948            0.859           0.891          NaN  
     20     'synth_magland_noise10_K20_C8'                     NaN            0.97       0.954       0.96        0.987      0.923         0.958            0.919           0.916          NaN  
     21     'synth_magland_noise20_K10_C4'                     NaN           0.989       0.984       0.93        0.961      0.813         0.997            0.878           0.931          NaN  
     22     'synth_magland_noise20_K10_C8'                     NaN           0.997       0.998       0.91        0.997      0.853         0.999             0.99           0.799          NaN  
     23     'synth_magland_noise20_K20_C4'                     NaN           0.975       0.928      0.932        0.942      0.827          0.98            0.759           0.468          NaN  
     24     'synth_magland_noise20_K20_C8'                     NaN           0.984       0.949      0.931        0.982      0.773          0.99            0.868           0.905          NaN  
     25     'manual_tetrode_600s'                              NaN           0.856       0.765      0.951        0.907      0.793         0.888            0.722           0.612          NaN  
     26     'manual_tetrode_1200s'                             NaN           0.849       0.751      0.943        0.881      0.747         0.859            0.727           0.598          NaN  
     27     'manual_tetrode_2400s'                             NaN           0.875       0.837      0.942        0.854       0.72         0.882            0.606           0.657          NaN  
     28     'synth_mearec_neuronexus_noise10_K10_C32'          NaN           0.992       0.985      0.976        0.999      0.823         0.953            0.938           0.976          NaN  
     29     'synth_mearec_neuronexus_noise10_K20_C32'          NaN           0.989       0.958      0.963        0.998      0.902         0.954            0.958           0.869          NaN  
     30     'synth_mearec_neuronexus_noise10_K40_C32'          NaN           0.979       0.942      0.981        0.997      0.888          0.96            0.951           0.886          NaN  
     31     'synth_mearec_neuronexus_noise20_K10_C32'          NaN           0.997       0.895      0.999        0.679       0.89         0.778                1           0.999          NaN  
     32     'synth_mearec_neuronexus_noise20_K20_C32'          NaN           0.994       0.966          1        0.997      0.903         0.999            0.959           0.997          NaN  
     33     'synth_mearec_neuronexus_noise20_K40_C32'          NaN           0.989       0.972      0.966        0.998      0.912         0.924             0.97           0.899          NaN  
     34     'synth_mearec_tetrode_noise10_K10_C4'              NaN           0.975       0.885      0.984            0      0.824          0.97            0.939           0.981          NaN  
     35     'synth_mearec_tetrode_noise10_K20_C4'              NaN           0.977        0.87      0.969        0.723      0.871         0.899            0.858           0.912          NaN  
     36     'synth_mearec_tetrode_noise20_K10_C4'              NaN           0.985       0.999      0.998            0      0.921             1            0.998           0.982          NaN  
     37     'synth_mearec_tetrode_noise20_K20_C4'              NaN           0.973       0.993      0.987            0      0.906         0.998            0.942           0.994          NaN  
     38     'mea_c30'                                        0.936           0.955           0       0.87        0.976          0         0.884            0.966           0.813          NaN  
     39     'hybrid_drift_siprobe'                           0.576           0.946        0.53      0.829        0.928        NaN          0.53            0.765           0.703          NaN  
     40     'hybrid_static_siprobe'                          0.926           0.967       0.962      0.969        0.988        NaN         0.871            0.948           0.795          NaN  
     41     'hybrid_drift_tetrode'                            0.46           0.958       0.696      0.902        0.606        NaN         0.677            0.803           0.796          NaN  
     42     'hybrid_static_tetrode'                          0.502           0.976       0.857      0.966        0.745        NaN         0.855            0.887           0.869          NaN  

tbl_cnt1
    Var1                      study                      HerdingSpikes2    IronClust    JRClust    KiloSort    KiloSort2    Klusta    MountainSort4    SpykingCircus    Tridesclous    Waveclus
    ____    _________________________________________    ______________    _________    _______    ________    _________    ______    _____________    _____________    ___________    ________

      0     'paired_boyden32c'                               ''                 4       '3'         '7'         '5'         '0*'             1            '3'              '1*'          ''    
      1     'paired_crcns'                                   ''                17       '8*'        '9*'        '12*'       '12'            13            '13'             '3'           ''    
      2     'paired_mea64c'                                  '11*'             12       '11'        '11'        '11*'       '0*'            11            '12'             '10*'         ''    
      3     'paired_kampff'                                  '4*'               4       '5*'        '5'         '8'         '0*'             4            '3*'             '3*'          ''    
      4     'paired_monotrode_boyden32c'                     ''                 0       ''          ''          ''          '1'              4            '1'              '1'           '1'   
      5     'paired_monotrode_kampff'                        ''                 0       ''          ''          ''          '1'              3            '1'              '0'           '0'   
      6     'paired_monotrode_crcns'                         ''                 0       ''          ''          ''          '0'              3            '1'              '0'           '3*'  
      7     'paired_monotrode_mea64c'                        ''                 1       ''          ''          ''          '7'             12            '5'              '6'           '7*'  
      8     'neurocube_sim2_2K10'                            ''                 0       ''          ''          ''          '0*'             5            '1'              '1'           '3*'  
      9     'neurocube_sim2_11K20'                           ''                 3       ''          ''          ''          '0*'            52            '4'              '2'           '42'  
     10     'neurocube_quiroga_easy1'                        ''                 6       ''          ''          ''          '0*'            11            '11'             '9'           '5'   
     11     'neurocube_quiroga_easy2'                        ''                 4       ''          ''          ''          '0*'            10            '8'              '1'           '6'   
     12     'neurocube_quiroga_difficult1'                   ''                 4       ''          ''          ''          '0*'             6            '6'              '1'           '8'   
     13     'neurocube_quiroga_difficult2'                   ''                 2       ''          ''          ''          '0*'             7            '3'              '1'           '8'   
     14     'synth_bionet_static'                            ''              1021       '1034'      '1110'      '1302'      '0*'           922            '943'            '234'         ''    
     15     'synth_bionet_drift'                             ''               938       '466'       '972'       '1217'      '0*'           710            '172*'           '173'         ''    
     16     'synth_bionet_shuffle'                           ''               924       '563'       '959'       '1252'      '0*'           724            '471*'           '94'          ''    
     17     'synth_magland_noise10_K10_C4'                   ''                99       '96'        '74'        '80'        '72'            89            '66'             '74'          ''    
     18     'synth_magland_noise10_K10_C8'                   ''                98       '99'        '80'        '100'       '81'            80            '72'             '85'          ''    
     19     'synth_magland_noise10_K20_C4'                   ''               193       '85'        '124'       '133'       '108'          179            '72'             '54'          ''    
     20     'synth_magland_noise10_K20_C8'                   ''               198       '191'       '154'       '174'       '164'          174            '119'            '160'         ''    
     21     'synth_magland_noise20_K10_C4'                   ''                81       '34'        '51'        '16*'       '7'             63            '17'             '15'          ''    
     22     'synth_magland_noise20_K10_C8'                   ''                90       '76'        '77'        '43'        '10'            64            '35'             '48'          ''    
     23     'synth_magland_noise20_K20_C4'                   ''               101       '20'        '71'        '37'        '9'             98            '14'             '1'           ''    
     24     'synth_magland_noise20_K20_C8'                   ''               158       '73'        '113'       '83'        '10'           123            '37'             '64'          ''    
     25     'manual_tetrode_600s'                            ''                 9       '0'         '5'         '15'        '30'            27            '11'             '0'           ''    
     26     'manual_tetrode_1200s'                           ''                 4       '0'         '7'         '8'         '12'            15            '9'              '0'           ''    
     27     'manual_tetrode_2400s'                           ''                 3       '0'         '2'         '2'         '5'              8            '0'              '0'           ''    
     28     'synth_mearec_neuronexus_noise10_K10_C32'        ''                60       '52'        '81'        '43'        '15'            41            '35'             '42'          ''    
     29     'synth_mearec_neuronexus_noise10_K20_C32'        ''               107       '83'        '144'       '97'        '31'            79            '57'             '54'          ''    
     30     'synth_mearec_neuronexus_noise10_K40_C32'        ''               177       '124'       '290'       '178'       '49'           129            '95'             '61'          ''    
     31     'synth_mearec_neuronexus_noise20_K10_C32'        ''                18       '18'        '52'        '5*'        '3'             16            '8*'             '10*'         ''    
     32     'synth_mearec_neuronexus_noise20_K20_C32'        ''                42       '33'        '96'        '23*'       '9'             36            '19'             '21'          ''    
     33     'synth_mearec_neuronexus_noise20_K40_C32'        ''                59       '50'        '140'       '51'        '22'            50            '33'             '33*'         ''    
     34     'synth_mearec_tetrode_noise10_K10_C4'            ''                38       '8'         '35'        '0*'        '10'            29            '16'             '21'          ''    
     35     'synth_mearec_tetrode_noise10_K20_C4'            ''                56       '11'        '65'        '7*'        '19'            49            '27'             '21'          ''    
     36     'synth_mearec_tetrode_noise20_K10_C4'            ''                14       '5'         '17'        '0*'        '3'             11            '6*'             '9'           ''    
     37     'synth_mearec_tetrode_noise20_K20_C4'            ''                28       '8'         '26'        '0*'        '5'             17            '6'              '14'          ''    
     38     'mea_c30'                                        '52'              83       '0*'        '31*'       '90'        '0'             54            '74'             '29'          ''    
     39     'hybrid_drift_siprobe'                           '44'             570       '19'        '366'       '513'       ''              45            '222'            '118'         ''    
     40     'hybrid_static_siprobe'                          '486'            637       '637'       '698'       '659'       ''             558            '586'            '207'         ''    
     41     'hybrid_drift_tetrode'                           '0'               44       '15'        '38'        '13'        ''              17            '19'             '18'          ''    
     42     'hybrid_static_tetrode'                          '12'              63       '39'        '62'        '41'        ''              54            '37'             '23'          ''    
